http://185.135.69.34:80  # response: 240.3ms
http://212.114.194.73:80  # response: 369.85ms
http://102.223.9.53:80  # response: 965.1ms
http://212.114.194.79:80  # response: 462.38ms
http://81.10.234.234:80  # response: 809.75ms
http://139.162.200.213:80  # response: 379.32ms
http://212.114.194.75:80  # response: 454.86ms
http://23.148.152.46:80  # response: 281.79ms
http://197.221.249.199:80  # response: 911.4ms
http://212.114.194.72:80  # response: 405.45ms
http://185.187.92.42:80  # response: 362.49ms
http://172.238.22.205:80  # response: 944.33ms
http://197.221.249.197:80  # response: 930.13ms
http://27.34.242.98:80  # response: 924.13ms
http://5.75.198.72:80  # response: 328.69ms
http://197.221.234.149:80  # response: 1188.91ms
http://197.221.234.252:80  # response: 1224.82ms
http://51.141.175.118:80  # response: 651.71ms
http://40.89.145.14:80  # response: 388.28ms
http://58.152.58.208:80  # response: 925.11ms
http://34.120.39.81:80  # response: 727.87ms
http://95.217.5.45:80  # response: 415.13ms
http://176.106.241.50:80  # response: 541.82ms
http://178.212.144.7:80  # response: 60.76ms
http://45.59.186.60:80  # response: 743.4ms
http://41.220.16.209:80  # response: 1956.05ms
http://221.153.152.43:80  # response: 1044.62ms
http://34.44.49.215:80  # response: 348.02ms
http://172.200.72.48:80  # response: 273.42ms
http://185.73.113.167:80  # response: 286.5ms
http://218.252.118.9:80  # response: 1500.07ms
http://4.213.167.178:80  # response: 764.44ms
http://154.31.115.210:80  # response: 1130.87ms
http://197.221.240.246:80  # response: 988.18ms
http://185.162.60.45:8080  # response: 333.21ms
http://103.213.97.78:80  # response: 841.9ms
http://119.194.72.67:80  # response: 1041.37ms
http://41.220.16.208:80  # response: 3925.97ms
http://174.136.204.40:80  # response: 751.97ms
http://123.205.71.210:80  # response: 1056.51ms
http://39.109.130.95:80  # response: 882.78ms
http://197.221.249.198:80  # response: 2052.4ms
http://174.138.119.88:80  # response: 282.21ms
http://4.213.98.253:80  # response: 796.3ms
http://218.37.228.22:80  # response: 970.22ms
http://74.176.195.135:80  # response: 842.26ms
http://218.54.90.225:80  # response: 1096.91ms
http://14.42.58.191:80  # response: 1195.59ms
http://43.200.30.144:80  # response: 1226.58ms
http://154.17.224.118:80  # response: 774.73ms
http://48.210.225.96:80  # response: 957.47ms
http://202.133.88.173:80  # response: 802.53ms
http://41.220.16.214:80  # response: 1132.71ms
http://188.245.218.56:80  # response: 310.08ms
http://89.116.88.19:80  # response: 922.1ms
http://157.180.118.86:80  # response: 361.81ms
http://91.99.181.245:80  # response: 1348.32ms
http://41.220.16.211:80  # response: 1975.5ms
http://154.31.113.209:80  # response: 854.57ms
http://176.226.200.167:80  # response: 515.88ms
http://176.61.151.123:80  # response: 887.48ms
http://45.225.207.183:999  # response: 10753.8ms
http://197.221.249.195:80  # response: 2052.32ms
http://222.234.52.105:80  # response: 1101.48ms
http://172.193.178.226:80  # response: 835.92ms
http://50.203.147.158:80  # response: 1313.54ms
http://95.216.49.153:80  # response: 5479.95ms
http://50.203.147.154:80  # response: 3329.39ms
http://188.191.165.159:70  # response: 770.21ms
http://162.240.154.26:3128  # response: 2119.49ms
http://197.221.240.176:80  # response: 3964.34ms
http://95.66.138.21:8880  # response: 382.32ms
http://50.203.147.157:80  # response: 3412.99ms
http://50.203.147.156:80  # response: 6554.91ms
http://103.156.17.132:8070  # response: 3544.74ms
http://38.60.196.214:80  # response: 371.46ms
http://116.171.106.111:3000  # response: 1082.93ms
http://103.102.6.82:80  # response: 1095.28ms
http://139.59.103.183:80  # response: 945.1ms
http://212.114.194.76:80  # response: 331.33ms
http://5.161.155.252:80  # response: 9018.36ms
http://162.245.85.36:80  # response: 340.21ms
http://162.223.90.144:80  # response: 350.17ms
http://91.202.36.46:8083  # response: 415.79ms
http://168.194.64.219:8888  # response: 558.98ms
http://111.79.111.126:3128  # response: 4693.78ms
http://91.202.36.46:8081  # response: 481.31ms
http://91.202.36.46:8082  # response: 414.38ms
http://197.221.237.248:80  # response: 1966.46ms
http://104.197.218.238:8080  # response: 337.48ms
http://190.119.132.62:80  # response: 668.19ms
http://176.117.105.226:8080  # response: 4932.24ms
http://175.138.231.145:80  # response: 1150.47ms
http://190.119.132.61:80  # response: 783.34ms
http://116.80.90.111:3172  # response: 1882.4ms
http://116.80.60.31:3172  # response: 1962.28ms
http://116.80.60.2:3172  # response: 3935.38ms
http://116.80.94.190:3172  # response: 3830.32ms
http://116.80.59.245:3172  # response: 4966.11ms
http://190.60.37.243:999  # response: 1803.37ms
http://14.143.222.113:10155  # response: 2837.12ms
http://116.80.47.45:3172  # response: 7979.16ms
http://54.201.87.119:80  # response: 2486.27ms
http://116.80.43.205:3172  # response: 7868.03ms
http://116.80.92.149:3172  # response: 7987.24ms
http://116.80.48.211:3172  # response: 1796.3ms
http://159.224.232.194:8888  # response: 336.77ms
http://62.182.204.81:88  # response: 552.59ms
http://79.110.202.131:8081  # response: 294.21ms
http://50.114.33.107:8080  # response: 1028.0ms
http://116.80.45.151:3172  # response: 2269.24ms
http://200.85.232.91:3128  # response: 1466.72ms
http://192.99.62.192:8888  # response: 1353.0ms
http://116.80.58.162:3172  # response: 2028.72ms
http://115.114.77.133:9090  # response: 1054.03ms
http://81.177.111.146:8080  # response: 652.73ms
http://101.71.143.237:8092  # response: 974.34ms
http://203.95.198.186:8080  # response: 973.96ms
http://190.61.90.229:999  # response: 3839.18ms
http://203.95.196.59:8080  # response: 976.45ms
http://116.80.48.163:3172  # response: 3970.32ms
http://116.80.48.162:3172  # response: 1800.3ms
http://104.129.203.245:11875  # response: 2101.05ms
http://104.129.203.245:10509  # response: 1100.24ms
http://103.30.28.209:4126  # response: 1786.21ms
http://104.129.203.245:10741  # response: 6915.14ms
http://104.129.203.245:10599  # response: 10059.17ms
http://123.200.6.153:4126  # response: 6396.48ms
http://34.194.110.189:80  # response: 4408.98ms
http://3.216.111.113:80  # response: 6134.24ms
http://35.172.109.143:80  # response: 6240.14ms
http://104.129.203.247:11480  # response: 3248.95ms
http://104.129.203.247:11004  # response: 6134.88ms
http://104.129.203.245:10019  # response: 2982.59ms
http://104.129.203.245:10810  # response: 10162.23ms
http://104.129.203.245:10535  # response: 5590.27ms
http://104.129.203.247:11401  # response: 2089.88ms
http://104.129.203.247:11697  # response: 2087.26ms
